ID Tema,Nome Tema,Link Tema,ID Serviço,Nome Serviço,Link Serviço
560,"Calçadas, guias e postes",https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=560,,,
559,Rua e bairro,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=559,952,Tapa-buraco,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=952
,,,906,Calçada particular - denunciar calçada danificada ou inexistente,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=906
,,,931,Calçada pública - solicitar manutenção,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=931
,,,911,Denunciar fechamento de ruas e vilas,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=911
,,,909,Denunciar terreno com muro danificado/inexistente,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=909
,,,2777,"Muro, passeio e limpeza - comunicar regularização após multa",https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2777
,,,3248,Regularizar imóveis e edificações,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=3248
,,,924,Solicitar fiscalização de ambulantes,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=924
566,Entulho e caçambas de entulho,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=566,,,
567,Conduta de funcionários,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=567,,,
563,Coleta de resíduos de serviços de saúde,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=563,,,
565,Coleta seletiva,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=565,,,
564,"Grande gerador de resíduos (serviço, comércio, indústria)",https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=564,,,
569,Remoção de grandes objetos,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=569,,,
562,Coleta de lixo domiciliar,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=562,,,
568,Lixeiras Públicas,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=568,,,
570,Varrição e limpeza urbana,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=570,,,
561,Lixo e limpeza,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=561,728,Denunciar estabelecimento gerador de resíduos de saúde não cadastrado,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=728
,,,2641,Entulho e grandes objetos em via pública - solicitar remoção,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=2641
,,,723,Instalação de contêiner para coleta de lixo domiciliar,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=723
,,,2777,"Muro, passeio e limpeza - comunicar regularização após multa",https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2777
,,,3198,Publicidade - Obter licença de anúncios informativos (CADAN),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=3198
,,,726,Reclamações sobre coleta de resíduos de serviços de saúde,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=726
,,,3248,Regularizar imóveis e edificações,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=3248
,,,727,Solicitar manutenção de caminhão de lixo,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=727
577,Bicicleta,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=577,,,
576,Sinalização e Circulação de Veículos e Pedestres,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=576,,,
575,Faixas exclusivas e corredores de ônibus,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=575,,,
579,Estacionamento Reservado/Preferencial,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=579,,,
578,Estacionamento,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=578,,,
580,Guias rebaixadas,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=580,,,
572,"Ponto viciado, entulho e caçamba de entulho",https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=572,,,
573,Trânsito e Transporte,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=573,3770,ATENDE+ - Atualizar o endereço residencial,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=3770
,,,2720,ATENDE+ - Incluir ou alterar programação de viagens,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2720
,,,1333,ATENDE+ - Inscrever-se,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=1333
,,,2721,ATENDE+ - Justificar falta,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2721
,,,2574,Inscrição / Renovação do Certificado de Registro Municipal – CRMPF/PJ,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2574
,,,2573,Transporte Escolar - Solicitar ou Renovar o Certificado de Registro Municipal de Condutores (CRM-C),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2573
,,,2381,Transporte Escolar Gratuito - TEG,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2381
,,,2380,Transporte Escolar Gratuito – Alterar endereço,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2380
574,Circulação de pedestres,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=574,,,
571,Aterro sanitário,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=571,,,
582,Conduta de funcionário da CET,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=582,,,
581,Autorizações especiais de trânsito,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=581,,,
589,Manutenção da sinalização de trânsito,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=589,,,
588,Interferências no trânsito,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=588,,,
586,Multas de trânsito e guinchamentos,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=586,,,
590,Obras na via,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=590,,,
584,CET PARK,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=584,,,
583,Educação em trânsito,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=583,,,
585,Eventos,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=585,,,
587,Fiscalização de infrações de trânsito,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=587,,,
597,População ou pessoa em situação de rua,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=597,,,
591,Placas com nome de rua,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=591,,,
592,Polo gerador de tráfego,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=592,,,
599,Imigrante,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=599,,,
593,Zona Azul,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=593,,,
598,Jovem,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=598,,,
600,Pessoa idosa,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=600,,,
595,Acesso à informação,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=595,,,
596,Cidadania e assistência social,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=596,4454,Altas Temperaturas - Solicitar abordagem social a pessoa em situação de rua,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=4454
,,,797,Denunciar LGBTFOBIA,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=797
,,,796,Denunciar negligência e abandono de criança ou adolescente,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=796
,,,792,Denunciar negligência e abandono de pessoa idosa,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=792
,,,800,Denunciar violação de direitos cometidos durante a ditadura,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=800
,,,2461,Leve Leite - Cadastro,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=2461
,,,1756,Leve Leite - Consultar entrega do leite,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=1756
,,,1757,Leve Leite - Reclamação da qualidade do leite,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=1757
594,Documentos e licenças,https://sp156.prefeitura.sp.gov.br/portal/tipos-servicos?tema=594,4082,Procedimento Judicial - Protocolar decisão judicial,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=4082
,,,932,Serviço de Informação ao Cidadão e Cidadã (SIC),https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?conteudo=932
,,,3994,Solicitar Certidão de Desapropriação,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3994
,,,3993,Solicitar Certidão de Diretrizes Hidráulicas e Faixas Não Edificáveis,https://sp156.prefeitura.sp.gov.br/portal/servicos/informacao?servico=3993
